フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
197,POINT(137.680295826737 35.0837013297778),da060508,東栄町交流促進センター　千代姫荘,北設楽郡東栄町中設楽にあります。お母さん達の作る地元農林水産物を使った料理が好評です。,東栄町交流促進センター　千代姫荘,0536-76-0489,https://www.at-ml.jp/68478/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:30:22
198,POINT(137.719169855118 35.1183421023989),da060509,  東栄町森林体験交流センター 「スターフォレスト御園」,北設楽郡東栄町御薗にあります。澄んだ星空の御園高原でスターウォッチング等を満喫できます。,東栄町森林体験交流センター「スターフォレスト御園」,0536-76-0687,http://www.town.toei.aichi.jp/1302.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:56:13
199,POINT(137.706688556406 35.0748516375525),da060510,とうえい温泉,北設楽郡東栄町にあります。食塩が含まれ塩辛い温泉で、温まりやすく冷めにくいのが特徴です。,とうえい温泉,0536-77-0268,https://toueionsen.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:31:18
200,POINT(137.698230810366 35.1435700290883),da060511,兎鹿嶋温泉（湯～らんどパルとよね）,北設楽郡豊根村の山麓にある楽しむ、くつろぐ、温まる温泉です。,湯～らんどパルとよね,0536-85-1180,http://www.chausuyama.jp/spot/2014022514193914.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:32:35
201,POINT(137.722560167313 35.182297079738),da060512,三沢高原農産物加工体験館,北設楽郡豊根村三沢地区にあります。地元のお母さんたちの手ほどきで農産加工等に挑戦してみませんか？,三沢高原いこいの里若者センター(総合案内所）,0536-85-1431,http://ikoinosatolove.sakura.ne.jp/taiken.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:33:09
202,POINT(137.720918655396 35.1395592684813),da060513,大入の郷（おおにゅうのさと）,北設楽郡豊根村の役場近くにあり、ふるさと豊根の自然が体験できます。,大入の郷事務局（豊根村商工会内）,0536-85-1033,http://www.shokokai.or.jp/23/235631S0003/index.htm ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:33:31
203,POINT(137.676721215248 35.2146348194783),da060514,グリーンステージ花の木,北設楽郡豊根村坂宇場地区にあります。自然と歴史を通して楽しい体験をしてみませんか？,グリーンステージ花の木管理組合,0536-87-2203,http://www.toyonemura-kanko.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:33:55
204,POINT(137.799502015114 35.1806748125955),da060515,とみやま来富館（らいふかん）,北設楽郡豊根村（旧富山村）で山村体験をしてみよう。,一般社団法人　とみやまの里,0536-89-2007,https://www.tomisato.org/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:34:34
205,POINT(137.534515857697 35.17286116978),da060516,道の駅「アグリステーションなぐら」,設楽町名倉地区にあります。地元農家が販売する高原野菜が人気の道の駅です。,道の駅「アグリステーションなぐら」,0536-65-0888,http://aguristationnagura.jimdofree.com/ ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:35:04
206,POINT(137.555726766586 34.925067493751),da060517,こんたく長篠,新城市長篠にある愛知東農業協同組合直営のレストランと直売所です。,こんたく長篠,0536-32-0002,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:06:45
207,POINT(137.615904257777 34.9741771982002),da060518,鳳来ゆ～ゆ～ありいな,新城市能登瀬にある湯量豊富な温泉です。スポーツ施設もあります。,鳳来ゆ～ゆ～ありいな,0536-32-2212,http://www.sanyurin.jp/yuyu/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:36:10
208,POINT(137.360279560089 34.6724424456919),da070502,万場調整池と万場緑地,「水」について楽しみながら理解を深めることができます。,"","","","","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 11:47:52
209,POINT(137.458448410034 34.7255918915809),da070503,産直プラザ二川,産直の新鮮な農産物が充実！価格の安さも自慢です。,産直プラザ二川,0532-41-2413,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 11:48:50
210,POINT(137.441148161888 34.8022545646061),da070503,産直プラザ石巻,産直の新鮮な農産物が充実！価格の安さも自慢です。,産直プラザ石巻,0532-88-0658,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:58:34
211,POINT(137.370745539665 34.7315614076404),da070503,グリーンセンター磯辺,産直の新鮮な農産物が充実！価格の安さも自慢です。,グリーンセンター磯辺,0532-45-4588,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:59:48
212,POINT(137.360118475849 34.7530239221273),da070503,グリーンセンター牟呂,産直の新鮮な農産物が充実！価格の安さも自慢です。,グリーンセンター牟呂,0532-33-3214,http://www.ja-toyohashi.com/info/green/green.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:00:37
213,POINT(137.319794297218 34.6821301756623),da070503,ジョイフル杉山,産直の新鮮な農産物が充実！価格の安さも自慢です。,ジョイフル杉山,0532-23-1386,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:04:44
214,POINT(137.4317497015 34.80764154109),da070503,フルーツショップゆめ彩館,産直の新鮮な農産物が充実！価格の安さも自慢です。,豊橋農業協同組合ゆめ彩館,0532-87-1777,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:04:24
215,POINT(137.371024489403 34.7721770519331),da070503,JAファーマーズマーケット吉田方店,産直の新鮮な農産物が充実！価格の安さも自慢です。,JAファーマーズマーケット吉田方店,0532-31-1966,https://www.ja-toyohashi.com/life_sanchoku.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:01:53
216,POINT(137.385470471182 34.7490594495702),da070503,産直プラザ福岡,産直の新鮮な農産物が充実！価格の安さも自慢です。,産直プラザ福岡,0532-46-3973,http://www.ja-toyohashi.com/info/a-coop/a-coop.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:02:21
217,POINT(137.363178770221 34.7123247954714),da070503,植田アグリセンター,産直の新鮮な農産物が充実！価格の安さも自慢です。,植田アグリセンター,0532-25-1721,http://www.ja-toyohashi.com/info/santyoku/santyoku.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:03:31
218,POINT(137.309993505478 34.8573234218116),da070504,グリーンセンター音羽（ぺったん工房）,豊川市で栽培された新鮮な野菜、果実、花及び加工品を販売する産地直売所です。,グリーンセンター音羽,0533-88-6600,https://ja-himawari.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:01:20
219,POINT(137.427141666412 34.8779394421041),da070505,本宮（ほんぐう）の湯,本宮山登山口麓の、緑豊かな自然環境の中にある日帰り天然温泉です。,本宮の湯,0533-92-1880,https://www.honguu-no-yu.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:05:12
220,POINT(137.368610501289 34.7988010764227),da070507,五社稲荷社朝市,国道１号に赤く映える大鳥居が見事です。新鮮な農産物の直販が魅力です。,五社稲荷社,0533-72-3062,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:05:43
221,POINT(137.359882593155 34.8468990091918),da070508,ぎょぎょランド,東三河唯一の淡水魚水族館です。豊川市内を流れる「とよがわ」に住む魚や生物を中心に、自然に近い状態でわかりやすく展示しています。,赤塚山公園案内（ぎょぎょランド内）,0533-89-8891,https://www.city.toyokawa.lg.jp/shisetsu/koen/akatsukayama.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:04:03
223,POINT(137.240760326385 34.8547966795529),da070510,蒲郡オレンジパーク,蒲郡市の特産物の「みかん」を始め、季節の様々なフルーツ狩り体験ができます。,蒲郡オレンジパーク,0533-68-2321,http://www.orepa.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:37:15
224,POINT(137.225257158279 34.8194757957419),da070511,手織り三河木綿工房 手織場（てばたば）,昔ながらの製法、器具を使い、伝統の三河木綿を復元している工房です。糸紡ぎや機織り体験もできます。,手織り三河木綿工房・手織場（てばたば）,0533-68-5771,http://www.yumeoribito.jp/know/renaissance/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:38:09
225,POINT(137.10112452507 34.625606859534),da070513,愛知みなみ農協ふれあい広場渥美店,あつみ特産”アールスメロン”を販売しています。,愛知みなみ農協ふれあい広場渥美店,0531-32-1151,http://www.ja-aichiminami.or.jp/store/index.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:06:31
226,POINT(137.208344257864 34.6155082774551),da070513,愛知みなみ農協ふれあい広場赤羽根店,安さと品揃えが自慢の店舗です。,愛知みなみ農協ふれあい広場赤羽根店,0531-45-3135,http://www.ja-aichiminami.or.jp/store/index.php,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:07:12
227,POINT(137.200709581375 34.6431826833529),da070514,サンテパルクたはら,渥美半島の農業の魅力を満載した農業公園です。,サンテパルクたはら　田原市芦ヶ池農業公園,0531-25-1234,http://santepark.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:41:43
228,POINT(137.272347575635 34.6615917310162),da070515,道の駅「田原めっくんはうす」,渥美半島の観光と産業の情報サービスステーションです。,道の駅「田原めっくんはうす」,0531-23-2525,https://tahara-michinoeki.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:09:06
229,POINT(137.020164728165 34.5839785384246),da070516,道の駅「伊良湖クリスタルポルト」,「道の駅・伊良湖」は海と陸を結ぶターミナルです。,道の駅「伊良湖クリスタルポルト」,0531-35-6631,https://www.crystalporto.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/24 14:27:40
230,POINT(137.14855670929 34.6540079253915),da070517,潮干狩り場（伊川津・泉）,渥美半島のアサリは大粒で味も良いと評判です。,伊川津漁業協同組合・泉漁業協同組合,（0531-37-0129)・(0531-37-0158) ,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:48:54
231,POINT(137.090899944305 34.6473487815611),da070517,潮干狩り場（小中山）,渥美半島のアサリは大粒で味も良いと評判です。,小中山漁業協同組合,(0531-32-0219),https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:49:17
232,POINT(137.240846157074 34.6885571561537),da070517,潮干狩り場（田原）,渥美半島のアサリは大粒で味も良いと評判です。,田原漁業協同組合,(0531-22-1215),https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:49:49
233,POINT(137.0263139257 34.5889747073647),da070518,伊良湖海水浴場,遠浅の海と真っ白な砂浜が特徴で、透明度の高い海と美しいビーチが人気です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:50:41
234,POINT(137.211953401566 34.6789584070697),da070518,仁崎（にさき）海水浴場,キャンプのできる海水浴場として人気です。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:47:52
235,POINT(137.232761979103 34.6858487982949),da070518,白谷海浜（しろやかいひん）公園,白い砂浜が人気で、潮風を感じながら三河湾国定公園の雄大な自然を楽しむことができます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:52:13
236,POINT(137.040796279907 34.6090869582499),da070519,休暇村伊良湖キャンプ場,海に近く、自然を満喫できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:09:52
237,POINT(137.1828353405 34.6639404850451),da070519,江比間（えひま）野外活動センター,海に近く、自然を満喫できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:10:27
238,POINT(137.212296724319 34.6784069745422),da070519,仁崎（にさき）キャンプ場,海に近く、自然を満喫できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:11:33
239,POINT(137.262116074562 34.6849357000229),da070520,蔵王山（ざおうさん）展望台,山頂の展望台からは田原市が一望できます。,渥美半島観光ビューロー,0531-23-3516,https://www.taharakankou.gr.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:52:08
240,POINT(137.244107723236 34.6698262113535),da070521,滝頭（たきがしら）公園,春には桜まつりで賑わいます。野球場やテニスコート、キャンプ場を備える公園です。,田原市役所（街づくり推進課）,0531-22-1111,http://www.city.tahara.aichi.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:13:21
241,POINT(137.060546688956 34.5951397039218),da070523,初立池（はったちいけ）公園,豊川用水東部幹線の最終調整池周囲に整備された公園です。,田原市役所（農政課）,0531-22-1111,http://www.city.tahara.aichi.jp/shisetsu/kankou/1005666/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:14:45
242,POINT(137.263242602348 34.8305862038865),da070524,とよおか湖公園（蒲郡調整池）,蒲郡調整池の堤防下に整備された公園です。長大滑り台などの遊具で遊べます。,蒲郡市役所（産業振興部農林水産課）,0533-66-1124,https://www.city.gamagori.lg.jp/site/nougyou/t-kouen.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:15:21
244,POINT(137.393417276385 34.69941667302),da070526,NDふぁ～む,飼育乳牛１５０頭の牧場です。ふれあい体験、搾乳体験、酪農作業体験などができます。,NDふぁ～む,0532-25-0908,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:16:06
245,POINT(137.140304717042 34.6325784995008),da070527,デイリーパラダイス,愛される酪農を目指して活動しています。酪農体験などができます。（酪農教育ファーム認証牧場）,デイリーパラダイス,0531-37-1196,http://dairyparadise.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:16:39
246,POINT(137.191048264503 34.6091399402059),da070528,「道の駅」あかばねロコステーション,渥美半島の真ん中で地域をつなぐ中継ステーションです。,「道の駅」あかばねロコステーション,0531-45-5088,https://tahara-michinoeki.com/akabane,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:45:26
247,POINT(137.177567481995 34.7807912585435),da070529,西浦鮮魚マーケット,西浦市場に水揚げされた魚介類や加工食品を販売しています。,蒲郡漁業協同組合西浦支所,0533-57-6155,http://gamagori-gyokyo.com/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:55:25
248,POINT(137.422077926352 34.6839801076182),da070531,あぐりパーク食彩村,東三河最大級！豊橋・田原地域「地産地消」の拠点です。,ＪＡあぐりパーク食彩村,0532-21-3901,https://www.syokusaimura.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:46:24
249,POINT(136.791071891785 35.3642234099712),da010502,川釣り体験場　マス釣り,ファミリーから上級の方まで楽しんで頂ける川釣り体験場です。,木曽川漁業協同組合,0586-87-3222,https://kawaturitaikenjyou.on.omisenomikata.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/28 13:59:56
250,POINT(137.683244723947 35.1790883647786),da060519,豊根グリーンポート宮嶋,北設楽郡豊根村にある、地元農産物の直売や加工品の販売、定食・軽食のある「道の駅」です。,豊根グリーンポート宮嶋,0536-87-2009,http://toyonemura-kanko.jp/greenport/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:37:23
251,POINT(137.72129064765 35.0467596565165),da060520,愛知東農業協同組合 産地直売施設　東栄直売所,愛知東農業協同組合が運営する直売施設です。,JA愛知東　東栄直売所　,0536-79-3343,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/17 10:10:52
252,POINT(137.476805448532 34.8959016218323),da060520,愛知東農業協同組合 産地直売施設　グリーンセンターしんしろ,愛知東農業協同組合が運営する直売施設です。,JA愛知東　グリーンセンターしんしろ,0536-23-7560,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:38:53
253,POINT(137.555394172668 34.9254105599869),da060520,愛知東農業協同組合 産地直売施設　こんたく長篠,愛知東農業協同組合が運営する産地直売施設です。,JA愛知東　こんたく長篠,0536-32-0002  ,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 10:05:06
254,POINT(137.425161479993 34.9762565246289),da060520,愛知東農業協同組合　 産地直売施設　勇気野菜館,愛知東農業協同組合が運営する産地直売施設です。Ａコープ店内にあります。,Aコープ作手店　勇気野菜館,0536-37-2124,http://www.ja-aichihigashi.com/sanchoku/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:38:21
255,POINT(137.115782820766 35.2404677022384),da010554,道の駅瀬戸しなの,産直とれたて市場とせとめし食堂があり、陶器の魅力も楽しめる施設です。,道の駅瀬戸しなの,0561-41-3900,http://www.setoshinano.jp,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 14:58:39
256,POINT(137.053879111891 35.0011346085919),da040514,JAあいち中央　グリーンセンター知立,知立市のJA直売施設です。<BR>取扱品目：産直野菜、コメ米、JA特産品、果物、花、観葉植物、園芸用品、生産資材,JAあいち中央　グリーンセンター知立,0566-85-0050,http://www.jaac.or.jp/agriculture/sanchoku/ ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/14 11:07:41
258,POINT(137.002829361202 34.9280387283417),da040531,JAあいち中央　産直センター高浜,高浜市のJA直売施設です。<BR>取扱品目：産直野菜、コメ米、JA特産品、果物、花、観葉植物、園芸用品、生産資材,JAあいち中央　産直センター高浜,0566-54-3030,http://www.jaac.or.jp/agriculture/sanchoku/ ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/11/14 11:10:25
260,POINT(137.149369481289 35.149160826289),da050523,うめこう桃梨苺園,１月～５月のいちご狩りの他、数々の受賞歴に裏打ちされた本物のおいしい桃、梨、苺を直送販売しています。,うめこう桃梨苺園,0565-41-4719,http://umekouen.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:16:37
261,POINT(137.123016943849 34.6332586992645),da070512,スイーツ＆ジェラテリア　Baroque(バロック),新鮮な生乳を使用したスイーツ・ジェラートをご提供いたします。,スイーツ＆ジェラテリア　Baroque(バロック),0531-37-0053,http://sg-baroque.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:17:31
262,POINT(136.723485589027 35.1787368185924),da020514,津島市観光交流センター（まつりの館　津島屋）,津島の歴史・文化・観光・知と人の交流センターです。,津島市観光交流センター(まつりの館　津島屋）,0567-25-2701,http://hc-ppp.com/tsushimashikankou/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:10:25
263,POINT(136.785812813292 35.1346902747663),da020515,蟹江町まちなか交流センター 『みちくさの駅　楽人(がくと)』,ふれあいと交流の場を提供する施設です。,蟹江町まちなか交流センター（みちくさの駅　楽人）,0567-55-9000,https://www.town.kanie.aichi.jp/soshiki/3/machinaka-kouryu-center.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/12 15:12:24
264,POINT(137.31361294796 35.0374903987532),da050508,昇匠 SHOW BAKERY(しょうべーかりー),豊田市下山地区にある、米粉パンが有名な手作りパン屋さんです。,昇匠 SHOW BAKERY,0565-90-3888,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/02/03 11:53:28
265,POINT(137.253769962806 35.2237794547978),da050521,たまご村,農林水産大臣賞を受賞した、産み立ての新鮮卵を販売しています。不老長寿の卵と言われる烏骨鶏の卵やアローカナの青い卵もあります。,たまご村,0565-65-3479,http://www.kankou-obara.toyota.aichi.jp/ ,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:20:33
266,POINT(137.283597167492 35.2709805577458),da050522,西村自然農園,季節の野菜や野草を収穫、調理して、楽しく食事したり、自然観察、耕作などを体験できる農園です。 あなたの「農家力」を高める絶好の機会です。,西村自然農園,0565-65-2869,https://www.nishimikawanavi.jp/accommodations/detail/69/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:15:25
268,POINT(137.15400102356 34.6506382728534),da070506,どろんこ村ファーマーズキッチン,自給自足を目指す農家レストランならではの家庭料理です。,どろんこ村ファーマーズキッチン,0531－37－0996,http://www.doronkomura.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:17:58
270,POINT(136.968612670898 34.8507466868812),da040545,レストランだいどころ,碧南市あおいパーク内にあります。新鮮な地元食材を使ったお食事をどうぞ。,レストランだいどころ（あおいパーク内）,0566-46-8058,https://www.city.hekinan.aichi.jp/aoi/annai/corner/co7.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/26 16:06:07
271,POINT(136.974994208213 34.8431949500428),da040536,農家れすとらん葉菜の舎（はなのや） ,碧南のお野菜を中心に、地元の主婦がつくる手造り惣菜をバイキング形式でお楽しみください。,農家れすとらん葉菜の舎,0566-41-8544,http://www.hananoya.org/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/08/09 14:58:42
272,POINT(137.046825168102 34.7211509935762),da040537,佐久島体験民宿ゆきや,定置網漁や味覚狩りなど、遊べるメニューも充実しています。,佐久島体験民宿ゆきや,0563-79-1020,http://www.sakushima-yukiya.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/08/09 14:59:03
273,POINT(137.046649104535 34.7220974102354),da040548,民宿千鳥,新鮮な海の幸でもてなしてくれる海辺の宿です。,民宿千鳥,0563-79-1008,http://sakushima-chidori.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:43:01
274,POINT(137.047622889258 34.7206829881864),da040549,ごはん屋　海,女店主のアイデアが光る新メニューに注目！,ごはん屋　海,0563-79-1910,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:48:47
275,POINT(137.021666765213 34.7948628661588),da040550,うなぎ割烹　みかわ三水亭,日本有数の産地・西尾市一色町初のうなぎ専門店です。,うなぎ割烹　みかわ三水亭,0120-718-819,http://www.mikawasuisankakou.jp/sansuitei/index.html,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:43:48
276,POINT(137.046693482178 34.7216106362614),da040551,佐久島民宿　魚増,新鮮な海の幸をバーベキューで味わう贅沢,佐久島民宿　魚増,0563-79-1111,http://www.1-boss.com/uomasu/index.htm,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:50:48
277,POINT(137.048267050436 34.7207016461959),da040552,民宿　市兵衛,漁師のご主人が獲ってくる新鮮な魚介が美味,民宿　市兵衛,0563-79-1103,http://www.ichibee-sakushima.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 09:50:15
278,POINT(137.014060020447 34.7941932636002),da040543,うなぎ処　いっしき ,漁協直営のお店でうなぎ本来の旨みを熱々でいただく,うなぎ処　いっしき,0563－65－0141,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/27 09:20:25
279,POINT(137.525302894366 35.2229550452755),da050525,山里Cyafe（ちゃふぇ）,山の中の小さな農家レストランです。眺めのよさが自慢です。,山里Cyafe（ちゃふぇ）,0565-83-3003,http://www.yamazatocyafe.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:23:15
280,POINT(137.569372052836 35.2844561379878),da050526,亀甲苑（きっこうえん）,囲炉裏でくつろぎながら、名古屋コーチンを味わえます。,亀甲苑（きっこうえん）,0565-84-1150,https://www.ikewon.com/kikkoen/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:25:42
281,POINT(137.401312862811 35.0356757716721),da050527,三河湖観光センター,昭和を感じさせる手作り惣菜が懐かしさいっぱいの「農家レストラン」です。,三河湖観光センター,0565-90-3510,http://www.tourismtoyota.jp/spots/detail/722/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:26:22
282,POINT(137.511450409624 34.9911057523885),da060522,奥三河の民宿旅館　川合,奥三河での地産地消、山の幸を用いた会席料理を提供しています。,民宿旅館　川合,0536-36-0047,https://yadokawai.hamazo.tv/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:39:57
283,POINT(137.449258158264 35.0182113523845),da060521,涼風の里,かやぶき屋根が特徴の直売所・農家レストランです。,涼風の里,0536-39-3131,"","","",システム管理者,2015/01/26 15:48:19,システム管理者,2022/08/09 15:59:04
284,POINT(137.712343985776 35.1205476191642),da060524,茶禅一,窓越しから絶景を眺めながら、お店自慢の蕎麦を堪能できます。,茶禅一,0536-76-0621,http://omoteyaen.co.jp/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 10:40:38
285,POINT(137.235799185686 34.8218075551427),da070522,ナチュラルキッチン　せさみ,昔の蔵を改装した空間で、心と身体を癒やす薬膳カフェです。,ナチュラルキッチン　せさみ,0533-67-3318,http://sesami.fc2web.com/,"","",システム管理者,2015/01/26 15:48:19,システム管理者,2023/01/13 11:18:23
287,POINT(137.782287597656 35.1722823515473),da060525,バンガロー村「古里とみやま」 湯の島温泉,かつて日本で最も小さい村だった旧・富山村にあるキャンプ場と自然に囲まれた秘湯温泉です。キャンプ場では、豊かな自然の中で、アウトドア体験を楽しむことができます。 ,一般社団法人　とみやまの里,0536-89-2007,http://www.tomisato.org/,"","",システム管理者,2017/01/13 13:52:08,システム管理者,2023/01/27 10:02:28
289,POINT(136.772707253155 35.1499837485662),da020506,名古屋西流通センター　土曜特売市,卸売市場内にある尾張の台所めいせいでは、毎月最終土曜日にスーパーイベントやフリーマーケットの開催を始め、生鮮食料品等の大特価販売があります。,地方卸売市場　名古屋西流通センター,0567-32-1155,http://meisei-ichiba.net,"","",システム管理者,2019/01/30 13:32:40,システム管理者,2023/01/12 15:13:36
291,POINT(136.786895212528 35.1468454861526),da020516,蟹江町観光交流センター（祭人（さいと））,2016年にユネスコ無形文化遺産に登録された須成祭に関する展示を行うミュージアム、物販、カフェなどがある蟹江町の観光拠点となる施設です。,蟹江町観光交流センター（祭人）,0567-58-3310,http://saito-kanie.jp,"","",システム管理者,2019/03/29 11:13:59,システム管理者,2022/11/28 15:33:01
292,POINT(136.824696063995 35.2012094478576),da020517,いきいき朝市甚目寺,あま市甚目寺地区では、新鮮な地場野菜やその加工品（漬物など）を販売しています。,JA海部東　甚目寺支店,052-444-0046,http://www.ja-amahigashi.or.jp/farm/asaichi/,"","",システム管理者,2020/03/31 15:12:51,システム管理者,2022/11/14 13:48:30
293,POINT(136.819857358932 35.1724182865025),da020518,元気朝市おおはる,海部郡大治町では、新鮮な地場野菜やその加工品（漬物など）を販売しています。,JA海部東　大治支店,052-444-2521,http://www.ja-amahigashi.or.jp/farm/asaichi/,"","",システム管理者,2020/03/31 15:33:12,システム管理者,2022/11/14 13:52:04
